fips,state,county,county,med_ re_taxes_paid,med_ re_taxes_paid_real,Location 
4025, Arizona,Yavapai ,Yavapai County,1350,1350,9
4027, Arizona,Yuma ,Yuma County,1086,1086,6
5001, Arkansas,Arkansas ,Arkansas County,525,525,10
5003, Arkansas,Ashley ,Ashley County,424,424,8
5005, Arkansas,Baxter ,Baxter County,690,690,8
5007, Arkansas,Benton ,Benton County,1292,1292,8
5009, Arkansas,Boone ,Boone County,748,748,7
5011, Arkansas,Bradley ,Bradley County,512,512,9
5013, Arkansas,Calhoun ,Calhoun County,402,402,9
5015, Arkansas,Carroll ,Carroll County,927,927,9
5017, Arkansas,Chicot ,Chicot County,423,423,8
5019, Arkansas,Clark ,Clark County,610,610,7
5021, Arkansas,Clay ,Clay County,454,454,6
5023, Arkansas,Cleburne ,Cleburne County,676,676,10
5025, Arkansas,Cleveland ,Cleveland County,482,482,11
5027, Arkansas,Columbia ,Columbia County,433,433,10
5029, Arkansas,Conway ,Conway County,546,546,8
5031, Arkansas,Craighead ,Craighead County,794,794,11
5033, Arkansas,Crawford ,Crawford County,712,712,10
5035, Arkansas,Crittenden ,Crittenden County,692,692,12
5037, Arkansas,Cross ,Cross County,508,508,7
5039, Arkansas,Dallas ,Dallas County,375,375,8
5041, Arkansas,Desha ,Desha County,446,446,7
5043, Arkansas,Drew ,Drew County,550,550,6
5045, Arkansas,Faulkner ,Faulkner County,1013,1013,10
5047, Arkansas,Franklin ,Franklin County,531,531,10
5049, Arkansas,Fulton ,Fulton County,460,460,8
5051, Arkansas,Garland ,Garland County,767,767,9
5053, Arkansas,Grant ,Grant County,611,611,7
5055, Arkansas,Greene ,Greene County,683,683,8
5057, Arkansas,Hempstead ,Hempstead County,413,413,11
5059, Arkansas,Hot Spring ,Hot Spring County,542,542,12
5061, Arkansas,Howard ,Howard County,486,486,8
5063, Arkansas,Independence ,Independence County,669,669,14
5065, Arkansas,Izard ,Izard County,519,519,7
5067, Arkansas,Jackson ,Jackson County,357,357,9
5069, Arkansas,Jefferson ,Jefferson County,537,537,11
5071, Arkansas,Johnson ,Johnson County,543,543,9
5073, Arkansas,Lafayette ,Lafayette County,390,390,11
5075, Arkansas,Lawrence ,Lawrence County,384,384,10
5077, Arkansas,Lee ,Lee County,361,361,5
5079, Arkansas,Lincoln ,Lincoln County,409,409,9
5081, Arkansas,Little River ,Little River County,367,367,14
5083, Arkansas,Logan ,Logan County,511,511,7
5085, Arkansas,Lonoke ,Lonoke County,923,923,8
5087, Arkansas,Madison ,Madison County,504,504,9
5089, Arkansas,Marion ,Marion County,639,639,8
5091, Arkansas,Miller ,Miller County,703,703,8
5093, Arkansas,Mississippi ,Mississippi County,473,473,13
5095, Arkansas,Monroe ,Monroe County,385,385,8
5097, Arkansas,Montgomery ,Montgomery County,474,474,12
5099, Arkansas,Nevada ,Nevada County,352,352,8
5101, Arkansas,Newton ,Newton County,501,501,8
5103, Arkansas,Ouachita ,Ouachita County,442,442,10
5105, Arkansas,Perry ,Perry County,550,550,7
5107, Arkansas,Phillips ,Phillips County,372,372,10
5109, Arkansas,Pike ,Pike County,455,455,6
5111, Arkansas,Poinsett ,Poinsett County,398,398,10
5113, Arkansas,Polk ,Polk County,447,447,6
5115, Arkansas,Pope ,Pope County,767,767,6
5117, Arkansas,Prairie ,Prairie County,458,458,9
5119, Arkansas,Pulaski ,Pulaski County,1256,1256,9
5121, Arkansas,Randolph ,Randolph County,364,364,10
5123, Arkansas,St. Francis ,St. Francis County,366,366,13
5125, Arkansas,Saline ,Saline County,1097,1097,8
5127, Arkansas,Scott ,Scott County,376,376,7
5129, Arkansas,Searcy ,Searcy County,411,411,8
5131, Arkansas,Sebastian ,Sebastian County,798,798,11
5133, Arkansas,Sevier ,Sevier County,440,440,8
5135, Arkansas,Sharp ,Sharp County,419,419,7
5137, Arkansas,Stone ,Stone County,408,408,7
5139, Arkansas,Union ,Union County,554,554,7
5141, Arkansas,Van Buren ,Van Buren County,555,555,11
5143, Arkansas,Washington ,Washington County,1190,1190,12
5145, Arkansas,White ,White County,604,604,7
5147, Arkansas,Woodruff ,Woodruff County,393,393,10
5149, Arkansas,Yell ,Yell County,726,726,6
6001, California,Alameda ,Alameda County,5539,5539,9
6003, California,Alpine ,Alpine County,2877,2877,8
6005, California,Amador ,Amador County,2179,2179,8
6007, California,Butte ,Butte County,1835,1835,7
6009, California,Calaveras ,Calaveras County,2408,2408,11
6011, California,Colusa ,Colusa County,1703,1703,8
6013, California,Contra Costa ,Contra Costa County,4941,4941,14
6015, California,Del Norte ,Del Norte County,1493,1493,11
6017, California,El Dorado ,El Dorado County,3312,3312,11
6019, California,Fresno ,Fresno County,1948,1948,8
6021, California,Glenn ,Glenn County,1668,1668,7
6023, California,Humboldt ,Humboldt County,1993,1993,10
6025, California,Imperial ,Imperial County,1608,1608,10
6027, California,Inyo ,Inyo County,2007,2007,6
6029, California,Kern ,Kern County,2059,2059,6
6031, California,Kings ,Kings County,1547,1547,7
6033, California,Lake ,Lake County,1684,1684,6
6035, California,Lassen ,Lassen County,1422,1422,8
6037, California,Los Angeles ,Los Angeles County,3938,3938,13
6039, California,Madera ,Madera County,1786,1786,8
6041, California,Marin ,Marin County,7433,7433,7
6043, California,Mariposa ,Mariposa County,1918,1918,10
6045, California,Mendocino ,Mendocino County,2464,2464,11
6047, California,Merced ,Merced County,1710,1710,8
6049, California,Modoc ,Modoc County,1167,1167,7
6051, California,Mono ,Mono County,2554,2554,6
6053, California,Monterey ,Monterey County,3372,3372,10
6055, California,Napa ,Napa County,4105,4105,6
6057, California,Nevada ,Nevada County,3135,3135,8
6059, California,Orange ,Orange County,4499,4499,8
6061, California,Placer ,Placer County,4062,4062,8
6063, California,Plumas ,Plumas County,1629,1629,8
6065, California,Riverside ,Riverside County,3144,3144,11
6067, California,Sacramento ,Sacramento County,2687,2687,12
6069, California,San Benito ,San Benito County,4089,4089,12
6071, California,San Bernardino ,San Bernardino County,2474,2474,16
6073, California,San Diego ,San Diego County,3868,3868,11
6075, California,San Francisco ,San Francisco County,6485,6485,15
6077, California,San Joaquin ,San Joaquin County,2663,2663,13
6079, California,San Luis Obispo ,San Luis Obispo County,3822,3822,17
6081, California,San Mateo ,San Mateo County,6424,6424,11
6083, California,Santa Barbara ,Santa Barbara County,3643,3643,15
6085, California,Santa Clara ,Santa Clara County,6650,6650,13
6087, California,Santa Cruz ,Santa Cruz County,4672,4672,12
6089, California,Shasta ,Shasta County,1843,1843,8
6091, California,Sierra ,Sierra County,1522,1522,8
6093, California,Siskiyou ,Siskiyou County,1436,1436,10
6095, California,Solano ,Solano County,3108,3108,8
6097, California,Sonoma ,Sonoma County,3960,3960,8
6099, California,Stanislaus ,Stanislaus County,2097,2097,12
6101, California,Sutter ,Sutter County,2330,2330,8
6103, California,Tehama ,Tehama County,1371,1371,8
6105, California,Trinity ,Trinity County,1469,1469,9
6107, California,Tulare ,Tulare County,1484,1484,8
6109, California,Tuolumne ,Tuolumne County,2125,2125,10
6111, California,Ventura ,Ventura County,4074,4074,9
6113, California,Yolo ,Yolo County,3458,3458,6
6115, California,Yuba ,Yuba County,1995,1995,6
8001, Colorado,Adams ,Adams County,1733,1733,7
8003, Colorado,Alamosa ,Alamosa County,961,961,9
8005, Colorado,Arapahoe ,Arapahoe County,1864,1864,10
8007, Colorado,Archuleta ,Archuleta County,1118,1118,11
8009, Colorado,Baca ,Baca County,455,455,6
8011, Colorado,Bent ,Bent County,408,408,6
8013, Colorado,Boulder ,Boulder County,2629,2629,9
8014, Colorado,Broomfield ,Broomfield County,2558,2558,12
8015, Colorado,Chaffee ,Chaffee County,1074,1074,9
8017, Colorado,Cheyenne ,Cheyenne County,546,546,10
8019, Colorado,Clear Creek ,Clear Creek County,1455,1455,13
8021, Colorado,Conejos ,Conejos County,593,593,9
8023, Colorado,Costilla ,Costilla County,427,427,10
8025, Colorado,Crowley ,Crowley County,399,399,9
8027, Colorado,Custer ,Custer County,943,943,8
8029, Colorado,Delta ,Delta County,774,774,7
8031, Colorado,Denver ,Denver County,1771,1771,8
8033, Colorado,Dolores ,Dolores County,517,517,9
8035, Colorado,Douglas ,Douglas County,2764,2764,9
8037, Colorado,Eagle ,Eagle County,2341,2341,7
8039, Colorado,Elbert ,Elbert County,1997,1997,8
8041, Colorado,El Paso ,El Paso County,1213,1213,9
8043, Colorado,Fremont ,Fremont County,724,724,9
8045, Colorado,Garfield ,Garfield County,1305,1305,10
8047, Colorado,Gilpin ,Gilpin County,791,791,8
8049, Colorado,Grand ,Grand County,1109,1109,7
8051, Colorado,Gunnison ,Gunnison County,1308,1308,10
8053, Colorado,Hinsdale ,Hinsdale County,1175,1175,10
8055, Colorado,Huerfano ,Huerfano County,570,570,10
8057, Colorado,Jackson ,Jackson County,453,453,9
8059, Colorado,Jefferson ,Jefferson County,2015,2015,11
8061, Colorado,Kiowa ,Kiowa County,475,475,7
8063, Colorado,Kit Carson ,Kit Carson County,786,786,12
8065, Colorado,Lake ,Lake County,1207,1207,6
8067, Colorado,La Plata ,La Plata County,1103,1103,10
8069, Colorado,Larimer ,Larimer County,1808,1808,9
8071, Colorado,Las Animas ,Las Animas County,423,423,12
8073, Colorado,Lincoln ,Lincoln County,617,617,9
8075, Colorado,Logan ,Logan County,904,904,7
8077, Colorado,Mesa ,Mesa County,976,976,6
8079, Colorado,Mineral ,Mineral County,1240,1240,9
8081, Colorado,Moffat ,Moffat County,891,891,8
8083, Colorado,Montezuma ,Montezuma County,818,818,11
8085, Colorado,Montrose ,Montrose County,938,938,10
8087, Colorado,Morgan ,Morgan County,997,997,8
8089, Colorado,Otero ,Otero County,461,461,7
8091, Colorado,Ouray ,Ouray County,1406,1406,7
8093, Colorado,Park ,Park County,1188,1188,6
8095, Colorado,Phillips ,Phillips County,988,988,10
8097, Colorado,Pitkin ,Pitkin County,2236,2236,8
8099, Colorado,Prowers ,Prowers County,434,434,9
8101, Colorado,Pueblo ,Pueblo County,1036,1036,8
8103, Colorado,Rio Blanco ,Rio Blanco County,742,742,12
8105, Colorado,Rio Grande ,Rio Grande County,712,712,12
8107, Colorado,Routt ,Routt County,1718,1718,7
8109, Colorado,Saguache ,Saguache County,694,694,10
8111, Colorado,San Juan ,San Juan County,820,820,10
8113, Colorado,San Miguel ,San Miguel County,1241,1241,12
8115, Colorado,Sedgwick ,Sedgwick County,537,537,10
8117, Colorado,Summit ,Summit County,1805,1805,8
8119, Colorado,Teller ,Teller County,1226,1226,8
8121, Colorado,Washington ,Washington County,702,702,12
8123, Colorado,Weld ,Weld County,1371,1371,6
8125, Colorado,Yuma ,Yuma County,772,772,6
9001, Connecticut,Fairfield ,Fairfield County,7393,7393,11
9003, Connecticut,Hartford ,Hartford County,5430,5430,10
9005, Connecticut,Litchfield ,Litchfield County,4829,4829,12
9007, Connecticut,Middlesex ,Middlesex County,5565,5565,11
9009, Connecticut,New Haven ,New Haven County,5744,5744,11
9011, Connecticut,New London ,New London County,4425,4425,12
9013, Connecticut,Tolland ,Tolland County,5458,5458,9
9015, Connecticut,Windham ,Windham County,3671,3671,9
10001, Delaware,Kent ,Kent County,1089,1089,6
10003, Delaware,New Castle ,New Castle County,1893,1893,12
10005, Delaware,Sussex ,Sussex County,858,858,8
12001, Florida,Alachua ,Alachua County,2047,2047,9
12003, Florida,Baker ,Baker County,1024,1024,7
12005, Florida,Bay ,Bay County,1199,1199,5
12007, Florida,Bradford ,Bradford County,821,821,10
12009, Florida,Brevard ,Brevard County,1534,1534,9
12011, Florida,Broward ,Broward County,2601,2601,9
12013, Florida,Calhoun ,Calhoun County,531,531,9
12015, Florida,Charlotte ,Charlotte County,1768,1768,11
12017, Florida,Citrus ,Citrus County,960,960,8
12019, Florida,Clay ,Clay County,1475,1475,6
12021, Florida,Collier ,Collier County,2344,2344,9
12023, Florida,Columbia ,Columbia County,1187,1187,10
12027, Florida,DeSoto ,DeSoto County,1083,1083,8
12029, Florida,Dixie ,Dixie County,541,541,7
12031, Florida,Duval ,Duval County,1576,1576,7
12033, Florida,Escambia ,Escambia County,1050,1050,10
12035, Florida,Flagler ,Flagler County,1802,1802,9
12037, Florida,Franklin ,Franklin County,787,787,10
12039, Florida,Gadsden ,Gadsden County,863,863,9
12041, Florida,Gilchrist ,Gilchrist County,806,806,11
12043, Florida,Glades ,Glades County,824,824,8
12045, Florida,Gulf ,Gulf County,898,898,6
12047, Florida,Hamilton ,Hamilton County,717,717,10
12049, Florida,Hardee ,Hardee County,838,838,8
12051, Florida,Hendry ,Hendry County,972,972,8
12053, Florida,Hernando ,Hernando County,1130,1130,10
12055, Florida,Highlands ,Highlands County,851,851,11
12057, Florida,Hillsborough ,Hillsborough County,1935,1935,14
12059, Florida,Holmes ,Holmes County,596,596,8
12061, Florida,Indian River ,Indian River County,1501,1501,14
12063, Florida,Jackson ,Jackson County,594,594,9
12065, Florida,Jefferson ,Jefferson County,1063,1063,11
12067, Florida,Lafayette ,Lafayette County,791,791,11
12069, Florida,Lake ,Lake County,1559,1559,6
12071, Florida,Lee ,Lee County,1967,1967,5
12073, Florida,Leon ,Leon County,1897,1897,6
12075, Florida,Levy ,Levy County,763,763,6
12077, Florida,Liberty ,Liberty County,687,687,9
12079, Florida,Madison ,Madison County,792,792,9
12081, Florida,Manatee ,Manatee County,1892,1892,9
12083, Florida,Marion ,Marion County,1206,1206,8
12085, Florida,Martin ,Martin County,2395,2395,8
12086, Florida,Miami-Dade ,Miami-Dade County,2610,2610,12
12087, Florida,Monroe ,Monroe County,3130,3130,8
12089, Florida,Nassau ,Nassau County,1754,1754,8
12091, Florida,Okaloosa ,Okaloosa County,1453,1453,10
12093, Florida,Okeechobee ,Okeechobee County,1082,1082,12
12095, Florida,Orange ,Orange County,2073,2073,8
12097, Florida,Osceola ,Osceola County,1616,1616,9
12099, Florida,Palm Beach ,Palm Beach County,2805,2805,12
12101, Florida,Pasco ,Pasco County,1339,1339,7
12103, Florida,Pinellas ,Pinellas County,1642,1642,10
12105, Florida,Polk ,Polk County,1164,1164,6
12107, Florida,Putnam ,Putnam County,933,933,8
12109, Florida,St. Johns ,St. Johns County,2762,2762,11
12111, Florida,St. Lucie ,St. Lucie County,1962,1962,11
12113, Florida,Santa Rosa ,Santa Rosa County,1355,1355,12
12115, Florida,Sarasota ,Sarasota County,1969,1969,10
12117, Florida,Seminole ,Seminole County,1967,1967,10
12119, Florida,Sumter ,Sumter County,2285,2285,8
12121, Florida,Suwannee ,Suwannee County,909,909,10
12123, Florida,Taylor ,Taylor County,759,759,8
12125, Florida,Union ,Union County,790,790,7
12127, Florida,Volusia ,Volusia County,1541,1541,9
12129, Florida,Wakulla ,Wakulla County,1097,1097,9
12131, Florida,Walton ,Walton County,1179,1179,8
12133, Florida,Washington ,Washington County,694,694,12
13001, Georgia,Appling ,Appling County,544,544,9
13003, Georgia,Atkinson ,Atkinson County,596,596,10
13005, Georgia,Bacon ,Bacon County,756,756,7
13007, Georgia,Baker ,Baker County,587,587,7
13009, Georgia,Baldwin ,Baldwin County,918,918,9
13011, Georgia,Banks ,Banks County,1122,1122,7
13013, Georgia,Barrow ,Barrow County,1302,1302,8
13015, Georgia,Bartow ,Bartow County,1203,1203,8
13017, Georgia,Ben Hill ,Ben Hill County,904,904,10
13019, Georgia,Berrien ,Berrien County,913,913,9
13021, Georgia,Bibb ,Bibb County,1374,1374,6
13023, Georgia,Bleckley ,Bleckley County,1061,1061,10
13025, Georgia,Brantley ,Brantley County,1076,1076,10
13027, Georgia,Brooks ,Brooks County,1188,1188,8
13029, Georgia,Bryan ,Bryan County,1828,1828,7
13031, Georgia,Bulloch ,Bulloch County,1121,1121,9
13033, Georgia,Burke ,Burke County,762,762,7
13035, Georgia,Butts ,Butts County,1252,1252,7
13037, Georgia,Calhoun ,Calhoun County,675,675,9
13039, Georgia,Camden ,Camden County,1619,1619,8
13043, Georgia,Candler ,Candler County,1061,1061,9
13045, Georgia,Carroll ,Carroll County,1005,1005,9
13047, Georgia,Catoosa ,Catoosa County,1169,1169,9
13049, Georgia,Charlton ,Charlton County,749,749,10
13051, Georgia,Chatham ,Chatham County,1882,1882,9
13053, Georgia,Chattahoochee ,Chattahoochee County,738,738,15
13055, Georgia,Chattooga ,Chattooga County,600,600,11
13057, Georgia,Cherokee ,Cherokee County,1766,1766,10
13059, Georgia,Clarke ,Clarke County,1677,1677,8
13061, Georgia,Clay ,Clay County,679,679,6
13063, Georgia,Clayton ,Clayton County,1032,1032,9
13065, Georgia,Clinch ,Clinch County,686,686,8
13067, Georgia,Cobb ,Cobb County,1715,1715,6
13069, Georgia,Coffee ,Coffee County,914,914,8
13071, Georgia,Colquitt ,Colquitt County,879,879,10
13073, Georgia,Columbia ,Columbia County,1926,1926,10
13075, Georgia,Cook ,Cook County,893,893,6
13077, Georgia,Coweta ,Coweta County,1751,1751,8
13079, Georgia,Crawford ,Crawford County,1049,1049,10
13081, Georgia,Crisp ,Crisp County,1009,1009,7
13083, Georgia,Dade ,Dade County,698,698,6
13085, Georgia,Dawson ,Dawson County,1643,1643,8
13087, Georgia,Decatur ,Decatur County,1211,1211,9
13089, Georgia,DeKalb ,DeKalb County,2054,2054,8
13091, Georgia,Dodge ,Dodge County,710,710,7
13093, Georgia,Dooly ,Dooly County,921,921,7
13095, Georgia,Dougherty ,Dougherty County,1420,1420,11
13097, Georgia,Douglas ,Douglas County,1412,1412,9
13099, Georgia,Early ,Early County,867,867,7
13101, Georgia,Echols ,Echols County,667,667,8
13103, Georgia,Effingham ,Effingham County,1744,1744,11
13105, Georgia,Elbert ,Elbert County,806,806,8
13107, Georgia,Emanuel ,Emanuel County,761,761,9
13109, Georgia,Evans ,Evans County,935,935,7
13111, Georgia,Fannin ,Fannin County,824,824,8
13113, Georgia,Fayette ,Fayette County,2475,2475,9
13115, Georgia,Floyd ,Floyd County,1242,1242,7
13117, Georgia,Forsyth ,Forsyth County,2486,2486,9
13119, Georgia,Franklin ,Franklin County,962,962,10
13121, Georgia,Fulton ,Fulton County,2901,2901,8
13123, Georgia,Gilmer ,Gilmer County,864,864,8
13125, Georgia,Glascock ,Glascock County,717,717,10
13127, Georgia,Glynn ,Glynn County,1232,1232,7
13129, Georgia,Gordon ,Gordon County,1130,1130,8
13131, Georgia,Grady ,Grady County,1172,1172,7
13133, Georgia,Greene ,Greene County,1427,1427,8
13135, Georgia,Gwinnett ,Gwinnett County,2393,2393,10
13137, Georgia,Habersham ,Habersham County,1078,1078,11
13139, Georgia,Hall ,Hall County,1533,1533,6
13141, Georgia,Hancock ,Hancock County,876,876,9
13143, Georgia,Haralson ,Haralson County,1219,1219,10
13145, Georgia,Harris ,Harris County,1940,1940,8
13147, Georgia,Hart ,Hart County,941,941,6
13149, Georgia,Heard ,Heard County,697,697,7
13151, Georgia,Henry ,Henry County,1722,1722,7
13153, Georgia,Houston ,Houston County,1372,1372,9
13155, Georgia,Irwin ,Irwin County,1020,1020,7
13157, Georgia,Jackson ,Jackson County,1705,1705,9
13159, Georgia,Jasper ,Jasper County,1329,1329,8
13161, Georgia,Jeff Davis ,Jeff Davis County,736,736,12
13163, Georgia,Jefferson ,Jefferson County,896,896,11
13165, Georgia,Jenkins ,Jenkins County,776,776,9
13167, Georgia,Johnson ,Johnson County,725,725,9
13169, Georgia,Jones ,Jones County,1434,1434,7
13171, Georgia,Lamar ,Lamar County,1289,1289,7
13173, Georgia,Lanier ,Lanier County,1180,1180,8
13175, Georgia,Laurens ,Laurens County,885,885,9
13177, Georgia,Lee ,Lee County,1761,1761,5
13179, Georgia,Liberty ,Liberty County,1638,1638,9
13181, Georgia,Lincoln ,Lincoln County,1325,1325,9
13183, Georgia,Long ,Long County,1379,1379,6
13185, Georgia,Lowndes ,Lowndes County,1277,1277,9
13187, Georgia,Lumpkin ,Lumpkin County,1358,1358,9
13189, Georgia,McDuffie ,McDuffie County,980,980,10
13191, Georgia,McIntosh ,McIntosh County,1054,1054,10
13193, Georgia,Macon ,Macon County,698,698,7
13195, Georgia,Madison ,Madison County,1228,1228,9
13197, Georgia,Marion ,Marion County,999,999,8
13199, Georgia,Meriwether ,Meriwether County,1163,1163,12
13201, Georgia,Miller ,Miller County,1373,1373,8
13205, Georgia,Mitchell ,Mitchell County,1245,1245,10
13207, Georgia,Monroe ,Monroe County,1333,1333,8
13209, Georgia,Montgomery ,Montgomery County,806,806,12
13211, Georgia,Morgan ,Morgan County,1799,1799,8
13213, Georgia,Murray ,Murray County,660,660,8
13215, Georgia,Muscogee ,Muscogee County,1299,1299,10
13217, Georgia,Newton ,Newton County,1342,1342,8
13219, Georgia,Oconee ,Oconee County,2093,2093,8
13221, Georgia,Oglethorpe ,Oglethorpe County,1028,1028,12
13223, Georgia,Paulding ,Paulding County,1490,1490,10
13225, Georgia,Peach ,Peach County,1495,1495,7
13227, Georgia,Pickens ,Pickens County,1540,1540,9
13229, Georgia,Pierce ,Pierce County,904,904,8
13231, Georgia,Pike ,Pike County,1655,1655,6
13233, Georgia,Polk ,Polk County,1064,1064,6
13235, Georgia,Pulaski ,Pulaski County,949,949,9
13237, Georgia,Putnam ,Putnam County,1200,1200,8
13239, Georgia,Quitman ,Quitman County,478,478,9
13241, Georgia,Rabun ,Rabun County,1112,1112,7
13243, Georgia,Randolph ,Randolph County,869,869,10
13245, Georgia,Richmond ,Richmond County,1214,1214,10
13247, Georgia,Rockdale ,Rockdale County,1044,1044,10
13249, Georgia,Schley ,Schley County,1217,1217,8
