fips,state,county,county,med_ re_taxes_paid,med_ re_taxes_paid_real,Location 
13251, Georgia,Screven ,Screven County,846,846,9
13253, Georgia,Seminole ,Seminole County,1029,1029,10
13255, Georgia,Spalding ,Spalding County,1506,1506,10
13257, Georgia,Stephens ,Stephens County,968,968,10
13259, Georgia,Stewart ,Stewart County,557,557,9
13261, Georgia,Sumter ,Sumter County,1426,1426,8
13263, Georgia,Talbot ,Talbot County,737,737,8
13265, Georgia,Taliaferro ,Taliaferro County,990,990,12
13267, Georgia,Tattnall ,Tattnall County,969,969,10
13269, Georgia,Taylor ,Taylor County,699,699,8
13271, Georgia,Telfair ,Telfair County,709,709,9
13273, Georgia,Terrell ,Terrell County,1119,1119,9
13275, Georgia,Thomas ,Thomas County,1364,1364,8
13277, Georgia,Tift ,Tift County,1313,1313,6
13279, Georgia,Toombs ,Toombs County,872,872,8
13281, Georgia,Towns ,Towns County,872,872,7
13283, Georgia,Treutlen ,Treutlen County,571,571,10
13285, Georgia,Troup ,Troup County,1305,1305,7
13287, Georgia,Turner ,Turner County,1011,1011,8
13289, Georgia,Twiggs ,Twiggs County,799,799,8
13291, Georgia,Union ,Union County,1229,1229,7
13293, Georgia,Upson ,Upson County,891,891,7
13295, Georgia,Walker ,Walker County,942,942,8
13297, Georgia,Walton ,Walton County,1525,1525,8
13299, Georgia,Ware ,Ware County,863,863,6
13301, Georgia,Warren ,Warren County,783,783,8
13303, Georgia,Washington ,Washington County,954,954,12
13305, Georgia,Wayne ,Wayne County,923,923,7
13307, Georgia,Webster ,Webster County,728,728,9
13309, Georgia,Wheeler ,Wheeler County,649,649,9
13311, Georgia,White ,White County,1338,1338,7
13313, Georgia,Whitfield ,Whitfield County,973,973,11
13315, Georgia,Wilcox ,Wilcox County,697,697,8
13317, Georgia,Wilkes ,Wilkes County,1067,1067,8
13319, Georgia,Wilkinson ,Wilkinson County,656,656,11
13321, Georgia,Worth ,Worth County,925,925,7
15001, Hawaii,Hawaii ,Hawaii County,940,940,8
15003, Hawaii,Honolulu ,Honolulu County,1896,1896,10
15005, Hawaii,Kalawao ,Kalawao County,,-,9
15007, Hawaii,Kauai ,Kauai County,1376,1376,7
15009, Hawaii,Maui ,Maui County,1123,1123,6
16001, Idaho,Ada ,Ada County,1772,1772,5
16003, Idaho,Adams ,Adams County,971,971,7
16005, Idaho,Bannock ,Bannock County,1408,1408,9
16007, Idaho,Bear Lake ,Bear Lake County,845,845,11
16009, Idaho,Benewah ,Benewah County,990,990,9
16011, Idaho,Bingham ,Bingham County,1062,1062,9
16013, Idaho,Blaine ,Blaine County,1900,1900,8
16015, Idaho,Boise ,Boise County,1188,1188,7
16017, Idaho,Bonner ,Bonner County,1306,1306,8
16019, Idaho,Bonneville ,Bonneville County,1288,1288,12
16021, Idaho,Boundary ,Boundary County,1101,1101,10
16023, Idaho,Butte ,Butte County,895,895,7
16025, Idaho,Camas ,Camas County,1057,1057,7
16027, Idaho,Canyon ,Canyon County,1373,1373,8
16029, Idaho,Caribou ,Caribou County,1049,1049,9
16031, Idaho,Cassia ,Cassia County,834,834,8
16033, Idaho,Clark ,Clark County,471,471,7
16035, Idaho,Clearwater ,Clearwater County,964,964,12
16037, Idaho,Custer ,Custer County,553,553,8
16039, Idaho,Elmore ,Elmore County,1150,1150,8
16041, Idaho,Franklin ,Franklin County,1238,1238,10
16043, Idaho,Fremont ,Fremont County,1067,1067,9
16045, Idaho,Gem ,Gem County,1031,1031,5
16047, Idaho,Gooding ,Gooding County,826,826,9
16049, Idaho,Idaho ,Idaho County,838,838,7
16051, Idaho,Jefferson ,Jefferson County,1188,1188,11
16053, Idaho,Jerome ,Jerome County,1143,1143,8
16055, Idaho,Kootenai ,Kootenai County,1464,1464,10
16057, Idaho,Latah ,Latah County,1783,1783,7
16059, Idaho,Lemhi ,Lemhi County,895,895,7
16061, Idaho,Lewis ,Lewis County,963,963,7
16063, Idaho,Lincoln ,Lincoln County,875,875,9
16065, Idaho,Madison ,Madison County,1337,1337,9
16067, Idaho,Minidoka ,Minidoka County,819,819,10
16069, Idaho,Nez Perce ,Nez Perce County,1680,1680,11
16071, Idaho,Oneida ,Oneida County,1042,1042,8
16073, Idaho,Owyhee ,Owyhee County,747,747,8
16075, Idaho,Payette ,Payette County,1052,1052,9
16077, Idaho,Power ,Power County,1233,1233,7
16079, Idaho,Shoshone ,Shoshone County,1078,1078,10
16081, Idaho,Teton ,Teton County,1597,1597,7
16083, Idaho,Twin Falls ,Twin Falls County,1280,1280,12
16085, Idaho,Valley ,Valley County,1361,1361,8
16087, Idaho,Washington ,Washington County,1103,1103,12
17001, Illinois,Adams ,Adams County,2130,2130,7
17003, Illinois,Alexander ,Alexander County,692,692,11
17005, Illinois,Bond ,Bond County,2140,2140,6
17007, Illinois,Boone ,Boone County,3906,3906,7
17009, Illinois,Brown ,Brown County,1435,1435,7
17011, Illinois,Bureau ,Bureau County,2327,2327,8
17013, Illinois,Calhoun ,Calhoun County,1916,1916,9
17015, Illinois,Carroll ,Carroll County,1984,1984,9
17017, Illinois,Cass ,Cass County,1541,1541,6
17019, Illinois,Champaign ,Champaign County,3493,3493,11
17021, Illinois,Christian ,Christian County,1638,1638,11
17023, Illinois,Clark ,Clark County,1693,1693,7
17025, Illinois,Clay ,Clay County,1311,1311,6
17027, Illinois,Clinton ,Clinton County,2894,2894,9
17029, Illinois,Coles ,Coles County,2090,2090,7
17031, Illinois,Cook ,Cook County,4984,4984,6
17033, Illinois,Crawford ,Crawford County,1408,1408,10
17035, Illinois,Cumberland ,Cumberland County,1756,1756,12
17037, Illinois,DeKalb ,DeKalb County,4881,4881,8
17039, Illinois,De Witt ,De Witt County,1853,1853,9
17041, Illinois,Douglas ,Douglas County,2125,2125,9
17043, Illinois,DuPage ,DuPage County,6627,6627,8
17045, Illinois,Edgar ,Edgar County,1266,1266,7
17047, Illinois,Edwards ,Edwards County,1125,1125,9
17049, Illinois,Effingham ,Effingham County,2145,2145,11
17051, Illinois,Fayette ,Fayette County,1404,1404,9
17053, Illinois,Ford ,Ford County,2214,2214,6
17055, Illinois,Franklin ,Franklin County,1169,1169,10
17057, Illinois,Fulton ,Fulton County,1845,1845,8
17059, Illinois,Gallatin ,Gallatin County,911,911,10
17061, Illinois,Greene ,Greene County,1277,1277,8
17063, Illinois,Grundy ,Grundy County,4019,4019,8
17065, Illinois,Hamilton ,Hamilton County,1313,1313,10
17067, Illinois,Hancock ,Hancock County,1601,1601,9
17069, Illinois,Hardin ,Hardin County,601,601,8
17071, Illinois,Henderson ,Henderson County,1412,1412,11
17073, Illinois,Henry ,Henry County,2439,2439,7
17075, Illinois,Iroquois ,Iroquois County,2124,2124,10
17077, Illinois,Jackson ,Jackson County,2126,2126,9
17079, Illinois,Jasper ,Jasper County,1562,1562,8
17081, Illinois,Jefferson ,Jefferson County,1520,1520,11
17083, Illinois,Jersey ,Jersey County,2617,2617,8
17085, Illinois,Jo Daviess ,Jo Daviess County,2804,2804,12
17087, Illinois,Johnson ,Johnson County,1467,1467,9
17089, Illinois,Kane ,Kane County,6164,6164,6
17091, Illinois,Kankakee ,Kankakee County,3439,3439,10
17093, Illinois,Kendall ,Kendall County,6597,6597,9
17095, Illinois,Knox ,Knox County,1665,1665,6
17097, Illinois,Lake ,Lake County,7347,7347,6
17099, Illinois,LaSalle ,LaSalle County,2788,2788,9
17101, Illinois,Lawrence ,Lawrence County,985,985,10
17103, Illinois,Lee ,Lee County,2499,2499,5
17105, Illinois,Livingston ,Livingston County,2640,2640,12
17107, Illinois,Logan ,Logan County,2032,2032,7
17109, Illinois,McDonough ,McDonough County,1889,1889,11
17111, Illinois,McHenry ,McHenry County,6312,6312,9
17113, Illinois,McLean ,McLean County,3825,3825,8
17115, Illinois,Macon ,Macon County,2147,2147,7
17117, Illinois,Macoupin ,Macoupin County,1632,1632,10
17119, Illinois,Madison ,Madison County,2691,2691,9
17121, Illinois,Marion ,Marion County,1399,1399,8
17123, Illinois,Marshall ,Marshall County,2406,2406,10
17125, Illinois,Mason ,Mason County,1705,1705,7
17127, Illinois,Massac ,Massac County,1316,1316,8
17129, Illinois,Menard ,Menard County,2680,2680,8
17131, Illinois,Mercer ,Mercer County,2350,2350,8
17133, Illinois,Monroe ,Monroe County,3746,3746,8
17135, Illinois,Montgomery ,Montgomery County,1483,1483,12
17137, Illinois,Morgan ,Morgan County,2041,2041,8
17139, Illinois,Moultrie ,Moultrie County,2251,2251,10
17141, Illinois,Ogle ,Ogle County,3126,3126,6
17143, Illinois,Peoria ,Peoria County,3016,3016,8
17145, Illinois,Perry ,Perry County,1487,1487,7
17147, Illinois,Piatt ,Piatt County,2472,2472,7
17149, Illinois,Pike ,Pike County,1382,1382,6
17151, Illinois,Pope ,Pope County,1142,1142,6
17153, Illinois,Pulaski ,Pulaski County,702,702,9
17155, Illinois,Putnam ,Putnam County,2141,2141,8
17157, Illinois,Randolph ,Randolph County,1486,1486,10
17159, Illinois,Richland ,Richland County,1608,1608,10
17161, Illinois,Rock Island ,Rock Island County,2614,2614,13
17163, Illinois,St. Clair ,St. Clair County,2754,2754,11
17165, Illinois,Saline ,Saline County,1212,1212,8
17167, Illinois,Sangamon ,Sangamon County,2794,2794,10
17169, Illinois,Schuyler ,Schuyler County,1463,1463,10
17171, Illinois,Scott ,Scott County,1291,1291,7
17173, Illinois,Shelby ,Shelby County,1642,1642,8
17175, Illinois,Stark ,Stark County,1607,1607,7
17177, Illinois,Stephenson ,Stephenson County,2645,2645,12
17179, Illinois,Tazewell ,Tazewell County,2952,2952,10
17181, Illinois,Union ,Union County,1533,1533,7
17183, Illinois,Vermilion ,Vermilion County,1423,1423,11
17185, Illinois,Wabash ,Wabash County,1441,1441,8
17187, Illinois,Warren ,Warren County,1620,1620,8
17189, Illinois,Washington ,Washington County,2288,2288,12
17191, Illinois,Wayne ,Wayne County,1037,1037,7
17193, Illinois,White ,White County,975,975,7
17195, Illinois,Whiteside ,Whiteside County,2354,2354,11
17197, Illinois,Will ,Will County,5940,5940,6
17199, Illinois,Williamson ,Williamson County,1685,1685,12
17201, Illinois,Winnebago ,Winnebago County,3497,3497,11
17203, Illinois,Woodford ,Woodford County,3597,3597,10
18001, Indiana,Adams ,Adams County,948,948,7
18003, Indiana,Allen ,Allen County,1147,1147,7
18005, Indiana,Bartholomew ,Bartholomew County,1282,1282,13
18007, Indiana,Benton ,Benton County,620,620,8
18009, Indiana,Blackford ,Blackford County,615,615,11
18011, Indiana,Boone ,Boone County,2080,2080,7
18013, Indiana,Brown ,Brown County,970,970,7
18015, Indiana,Carroll ,Carroll County,789,789,9
18017, Indiana,Cass ,Cass County,667,667,6
18019, Indiana,Clark ,Clark County,1163,1163,7
18021, Indiana,Clay ,Clay County,471,471,6
18023, Indiana,Clinton ,Clinton County,774,774,9
18025, Indiana,Crawford ,Crawford County,871,871,10
18027, Indiana,Daviess ,Daviess County,954,954,9
18029, Indiana,Dearborn ,Dearborn County,1394,1394,10
18031, Indiana,Decatur ,Decatur County,848,848,9
18033, Indiana,DeKalb ,DeKalb County,903,903,8
18035, Indiana,Delaware ,Delaware County,831,831,10
18037, Indiana,Dubois ,Dubois County,1165,1165,8
18039, Indiana,Elkhart ,Elkhart County,1248,1248,9
18041, Indiana,Fayette ,Fayette County,683,683,9
18043, Indiana,Floyd ,Floyd County,1324,1324,7
18045, Indiana,Fountain ,Fountain County,596,596,10
18047, Indiana,Franklin ,Franklin County,960,960,10
18049, Indiana,Fulton ,Fulton County,559,559,8
18051, Indiana,Gibson ,Gibson County,888,888,8
18053, Indiana,Grant ,Grant County,572,572,7
18055, Indiana,Greene ,Greene County,751,751,8
18057, Indiana,Hamilton ,Hamilton County,2428,2428,10
18059, Indiana,Hancock ,Hancock County,1436,1436,9
18061, Indiana,Harrison ,Harrison County,857,857,10
18063, Indiana,Hendricks ,Hendricks County,1754,1754,11
18065, Indiana,Henry ,Henry County,784,784,7
18067, Indiana,Howard ,Howard County,748,748,8
18069, Indiana,Huntington ,Huntington County,869,869,12
18071, Indiana,Jackson ,Jackson County,724,724,9
18073, Indiana,Jasper ,Jasper County,743,743,8
18075, Indiana,Jay ,Jay County,534,534,5
18077, Indiana,Jefferson ,Jefferson County,900,900,11
18079, Indiana,Jennings ,Jennings County,791,791,10
18081, Indiana,Johnson ,Johnson County,1416,1416,9
18083, Indiana,Knox ,Knox County,704,704,6
18085, Indiana,Kosciusko ,Kosciusko County,948,948,11
18087, Indiana,LaGrange ,LaGrange County,1004,1004,10
18089, Indiana,Lake ,Lake County,1625,1625,6
18091, Indiana,LaPorte ,LaPorte County,1175,1175,9
18093, Indiana,Lawrence ,Lawrence County,860,860,10
18095, Indiana,Madison ,Madison County,894,894,9
18097, Indiana,Marion ,Marion County,1335,1335,8
18099, Indiana,Marshall ,Marshall County,957,957,10
18101, Indiana,Martin ,Martin County,624,624,8
18103, Indiana,Miami ,Miami County,441,441,7
18105, Indiana,Monroe ,Monroe County,1324,1324,8
18107, Indiana,Montgomery ,Montgomery County,490,490,12
18109, Indiana,Morgan ,Morgan County,776,776,8
18111, Indiana,Newton ,Newton County,942,942,8
18113, Indiana,Noble ,Noble County,791,791,7
18115, Indiana,Ohio ,Ohio County,830,830,6
18117, Indiana,Orange ,Orange County,568,568,8
18119, Indiana,Owen ,Owen County,873,873,6
18121, Indiana,Parke ,Parke County,447,447,7
18123, Indiana,Perry ,Perry County,824,824,7
18125, Indiana,Pike ,Pike County,800,800,6
18127, Indiana,Porter ,Porter County,1740,1740,8
18129, Indiana,Posey ,Posey County,969,969,7
18131, Indiana,Pulaski ,Pulaski County,425,425,9
18133, Indiana,Putnam ,Putnam County,771,771,8
18135, Indiana,Randolph ,Randolph County,666,666,10
18137, Indiana,Ripley ,Ripley County,909,909,8
18139, Indiana,Rush ,Rush County,748,748,6
18141, Indiana,St. Joseph ,St. Joseph County,1234,1234,12
18143, Indiana,Scott ,Scott County,869,869,7
18145, Indiana,Shelby ,Shelby County,1026,1026,8
18147, Indiana,Spencer ,Spencer County,762,762,9
18149, Indiana,Starke ,Starke County,765,765,8
18151, Indiana,Steuben ,Steuben County,835,835,9
18153, Indiana,Sullivan ,Sullivan County,558,558,10
18155, Indiana,Switzerland ,Switzerland County,606,606,13
18157, Indiana,Tippecanoe ,Tippecanoe County,1116,1116,12
18159, Indiana,Tipton ,Tipton County,783,783,8
18161, Indiana,Union ,Union County,867,867,7
18163, Indiana,Vanderburgh ,Vanderburgh County,1160,1160,13
18165, Indiana,Vermillion ,Vermillion County,612,612,12
18167, Indiana,Vigo ,Vigo County,934,934,6
18169, Indiana,Wabash ,Wabash County,444,444,8
18171, Indiana,Warren ,Warren County,647,647,8
18173, Indiana,Warrick ,Warrick County,1185,1185,9
18175, Indiana,Washington ,Washington County,753,753,12
18177, Indiana,Wayne ,Wayne County,872,872,7
18179, Indiana,Wells ,Wells County,643,643,7
18181, Indiana,White ,White County,664,664,7
18183, Indiana,Whitley ,Whitley County,1069,1069,9
19001, Iowa,Adair ,Adair County,1378,1378,7
19003, Iowa,Adams ,Adams County,1165,1165,7
19005, Iowa,Allamakee ,Allamakee County,1562,1562,11
19007, Iowa,Appanoose ,Appanoose County,1248,1248,11
19009, Iowa,Audubon ,Audubon County,995,995,9
19011, Iowa,Benton ,Benton County,2107,2107,8
19013, Iowa,Black Hawk ,Black Hawk County,2359,2359,12
19015, Iowa,Boone ,Boone County,2011,2011,7
19017, Iowa,Bremer ,Bremer County,2388,2388,8
19019, Iowa,Buchanan ,Buchanan County,1987,1987,10
19021, Iowa,Buena Vista ,Buena Vista County,1510,1510,13
19023, Iowa,Butler ,Butler County,1690,1690,8
19025, Iowa,Calhoun ,Calhoun County,1128,1128,9
19027, Iowa,Carroll ,Carroll County,1361,1361,9
19029, Iowa,Cass ,Cass County,1594,1594,6
19031, Iowa,Cedar ,Cedar County,1898,1898,7
19033, Iowa,Cerro Gordo ,Cerro Gordo County,1725,1725,13
19035, Iowa,Cherokee ,Cherokee County,1166,1166,10
19037, Iowa,Chickasaw ,Chickasaw County,1345,1345,11
19039, Iowa,Clarke ,Clarke County,1689,1689,8
19041, Iowa,Clay ,Clay County,1542,1542,6
19043, Iowa,Clayton ,Clayton County,1710,1710,9
19045, Iowa,Clinton ,Clinton County,1891,1891,9
19047, Iowa,Crawford ,Crawford County,1343,1343,10
19049, Iowa,Dallas ,Dallas County,3564,3564,8
19051, Iowa,Davis ,Davis County,1841,1841,7
19053, Iowa,Decatur ,Decatur County,1353,1353,9
19055, Iowa,Delaware ,Delaware County,1846,1846,10
19057, Iowa,Des Moines ,Des Moines County,1698,1698,12
19059, Iowa,Dickinson ,Dickinson County,1817,1817,11
19061, Iowa,Dubuque ,Dubuque County,2376,2376,9
19063, Iowa,Emmet ,Emmet County,1360,1360,7
19065, Iowa,Fayette ,Fayette County,1370,1370,9
19067, Iowa,Floyd ,Floyd County,1423,1423,7
19069, Iowa,Franklin ,Franklin County,1288,1288,10
19071, Iowa,Fremont ,Fremont County,1436,1436,9
19073, Iowa,Greene ,Greene County,1230,1230,8
19075, Iowa,Grundy ,Grundy County,1629,1629,8
19077, Iowa,Guthrie ,Guthrie County,1567,1567,9
19079, Iowa,Hamilton ,Hamilton County,1527,1527,10
19081, Iowa,Hancock ,Hancock County,1251,1251,9
19083, Iowa,Hardin ,Hardin County,1328,1328,8
19085, Iowa,Harrison ,Harrison County,1509,1509,10
19087, Iowa,Henry ,Henry County,1672,1672,7
19089, Iowa,Howard ,Howard County,1407,1407,8
19091, Iowa,Humboldt ,Humboldt County,1483,1483,10
19093, Iowa,Ida ,Ida County,979,979,5
19095, Iowa,Iowa ,Iowa County,1810,1810,6
19097, Iowa,Jackson ,Jackson County,1744,1744,9
19099, Iowa,Jasper ,Jasper County,2013,2013,8
19101, Iowa,Jefferson ,Jefferson County,1724,1724,11
19103, Iowa,Johnson ,Johnson County,3552,3552,9
19105, Iowa,Jones ,Jones County,1801,1801,7
19107, Iowa,Keokuk ,Keokuk County,1340,1340,8
19109, Iowa,Kossuth ,Kossuth County,1115,1115,9
19111, Iowa,Lee ,Lee County,1436,1436,5
19113, Iowa,Linn ,Linn County,2754,2754,6
19115, Iowa,Louisa ,Louisa County,1537,1537,8
19117, Iowa,Lucas ,Lucas County,1459,1459,7
19119, Iowa,Lyon ,Lyon County,1437,1437,6
19121, Iowa,Madison ,Madison County,2641,2641,9
19123, Iowa,Mahaska ,Mahaska County,1696,1696,9
19125, Iowa,Marion ,Marion County,2151,2151,8
19127, Iowa,Marshall ,Marshall County,1704,1704,10
19129, Iowa,Mills ,Mills County,2439,2439,7
19131, Iowa,Mitchell ,Mitchell County,1413,1413,10
19133, Iowa,Monona ,Monona County,1056,1056,8
19135, Iowa,Monroe ,Monroe County,1451,1451,8
19137, Iowa,Montgomery ,Montgomery County,1445,1445,12
19139, Iowa,Muscatine ,Muscatine County,2194,2194,11
19141, Iowa,O'Brien ,O'Brien County,1319,1319,9
19143, Iowa,Osceola ,Osceola County,933,933,9
19145, Iowa,Page ,Page County,1388,1388,6
19147, Iowa,Palo Alto ,Palo Alto County,1266,1266,11
19149, Iowa,Plymouth ,Plymouth County,1875,1875,10
19151, Iowa,Pocahontas ,Pocahontas County,842,842,12
19153, Iowa,Polk ,Polk County,3384,3384,6
19155, Iowa,Pottawattamie ,Pottawattamie County,2511,2511,15
19157, Iowa,Poweshiek ,Poweshiek County,1975,1975,11
19159, Iowa,Ringgold ,Ringgold County,1358,1358,10
19161, Iowa,Sac ,Sac County,1042,1042,5
19163, Iowa,Scott ,Scott County,2635,2635,7
19165, Iowa,Shelby ,Shelby County,1591,1591,8
19167, Iowa,Sioux ,Sioux County,1902,1902,7
19169, Iowa,Story ,Story County,2783,2783,7
19171, Iowa,Tama ,Tama County,1566,1566,6
19173, Iowa,Taylor ,Taylor County,1118,1118,8
19175, Iowa,Union ,Union County,1696,1696,7
19177, Iowa,Van Buren ,Van Buren County,1269,1269,11
19179, Iowa,Wapello ,Wapello County,1446,1446,9
19181, Iowa,Warren ,Warren County,2982,2982,8
19183, Iowa,Washington ,Washington County,2100,2100,12
19185, Iowa,Wayne ,Wayne County,1119,1119,7
19187, Iowa,Webster ,Webster County,1526,1526,9
19189, Iowa,Winnebago ,Winnebago County,1358,1358,11
19191, Iowa,Winneshiek ,Winneshiek County,2110,2110,12
19193, Iowa,Woodbury ,Woodbury County,1941,1941,10
19195, Iowa,Worth ,Worth County,1286,1286,7
19197, Iowa,Wright ,Wright County,1340,1340,8
20001, Kansas,Allen ,Allen County,1296,1296,7
20003, Kansas,Anderson ,Anderson County,1688,1688,10
20005, Kansas,Atchison ,Atchison County,1668,1668,10
20007, Kansas,Barber ,Barber County,1015,1015,8
20009, Kansas,Barton ,Barton County,1622,1622,8
20011, Kansas,Bourbon ,Bourbon County,1354,1354,9
20013, Kansas,Brown ,Brown County,1149,1149,7
20015, Kansas,Butler ,Butler County,2380,2380,8
20017, Kansas,Chase ,Chase County,1496,1496,7
20019, Kansas,Chautauqua ,Chautauqua County,1110,1110,12
20021, Kansas,Cherokee ,Cherokee County,1077,1077,10
20023, Kansas,Cheyenne ,Cheyenne County,1292,1292,10
20025, Kansas,Clark ,Clark County,1303,1303,7
20027, Kansas,Clay ,Clay County,1680,1680,6
20029, Kansas,Cloud ,Cloud County,1377,1377,7
20031, Kansas,Coffey ,Coffey County,1324,1324,8
20033, Kansas,Comanche ,Comanche County,1020,1020,10
20035, Kansas,Cowley ,Cowley County,1473,1473,8
20037, Kansas,Crawford ,Crawford County,1307,1307,10
20039, Kansas,Decatur ,Decatur County,1092,1092,9
20041, Kansas,Dickinson ,Dickinson County,1631,1631,11
20043, Kansas,Doniphan ,Doniphan County,1388,1388,10
20045, Kansas,Douglas ,Douglas County,2647,2647,9
20047, Kansas,Edwards ,Edwards County,1056,1056,9
20049, Kansas,Elk ,Elk County,982,982,5
20051, Kansas,Ellis ,Ellis County,1989,1989,7
20053, Kansas,Ellsworth ,Ellsworth County,1492,1492,11
20055, Kansas,Finney ,Finney County,2083,2083,8
20057, Kansas,Ford ,Ford County,1756,1756,6
20059, Kansas,Franklin ,Franklin County,1919,1919,10
20061, Kansas,Geary ,Geary County,2503,2503,7
20063, Kansas,Gove ,Gove County,1293,1293,6
20065, Kansas,Graham ,Graham County,1273,1273,8
20067, Kansas,Grant ,Grant County,1259,1259,7
20069, Kansas,Gray ,Gray County,1810,1810,6
20071, Kansas,Greeley ,Greeley County,1837,1837,9
20073, Kansas,Greenwood ,Greenwood County,1051,1051,11
20075, Kansas,Hamilton ,Hamilton County,1393,1393,10
20077, Kansas,Harper ,Harper County,1352,1352,8
20079, Kansas,Harvey ,Harvey County,1919,1919,8
20081, Kansas,Haskell ,Haskell County,1635,1635,9
20083, Kansas,Hodgeman ,Hodgeman County,1498,1498,10
20085, Kansas,Jackson ,Jackson County,1941,1941,9
20087, Kansas,Jefferson ,Jefferson County,2164,2164,11
20089, Kansas,Jewell ,Jewell County,939,939,8
20091, Kansas,Johnson ,Johnson County,3018,3018,9
20093, Kansas,Kearny ,Kearny County,1435,1435,8
20095, Kansas,Kingman ,Kingman County,1553,1553,9
20097, Kansas,Kiowa ,Kiowa County,1876,1876,7
20099, Kansas,Labette ,Labette County,1479,1479,9
20101, Kansas,Lane ,Lane County,1242,1242,6
20103, Kansas,Leavenworth ,Leavenworth County,2317,2317,13
20105, Kansas,Lincoln ,Lincoln County,1314,1314,9
20107, Kansas,Linn ,Linn County,1286,1286,6
20109, Kansas,Logan ,Logan County,1408,1408,7
20111, Kansas,Lyon ,Lyon County,1651,1651,6
20113, Kansas,McPherson ,McPherson County,1998,1998,11
20115, Kansas,Marion ,Marion County,1600,1600,8
20117, Kansas,Marshall ,Marshall County,1385,1385,10
20119, Kansas,Meade ,Meade County,1280,1280,7
20121, Kansas,Miami ,Miami County,2485,2485,7
20123, Kansas,Mitchell ,Mitchell County,1503,1503,10
20125, Kansas,Montgomery ,Montgomery County,1315,1315,12
20127, Kansas,Morris ,Morris County,1717,1717,8
20129, Kansas,Morton ,Morton County,1453,1453,8
20131, Kansas,Nemaha ,Nemaha County,1541,1541,8
20133, Kansas,Neosho ,Neosho County,1323,1323,8
20135, Kansas,Ness ,Ness County,1245,1245,6
20137, Kansas,Norton ,Norton County,1289,1289,8
20139, Kansas,Osage ,Osage County,1792,1792,7
20141, Kansas,Osborne ,Osborne County,1298,1298,9
20143, Kansas,Ottawa ,Ottawa County,1845,1845,8
20145, Kansas,Pawnee ,Pawnee County,1384,1384,8
20147, Kansas,Phillips ,Phillips County,1258,1258,10
20149, Kansas,Pottawatomie ,Pottawatomie County,1978,1978,14
20151, Kansas,Pratt ,Pratt County,1607,1607,7
20153, Kansas,Rawlins ,Rawlins County,1410,1410,9
20155, Kansas,Reno ,Reno County,1747,1747,6
20157, Kansas,Republic ,Republic County,1218,1218,10
20159, Kansas,Rice ,Rice County,1265,1265,6
20161, Kansas,Riley ,Riley County,2803,2803,7
20163, Kansas,Rooks ,Rooks County,1309,1309,7
20165, Kansas,Rush ,Rush County,1309,1309,6
20167, Kansas,Russell ,Russell County,1469,1469,9
20169, Kansas,Saline ,Saline County,1763,1763,8
20171, Kansas,Scott ,Scott County,2040,2040,7
20173, Kansas,Sedgwick ,Sedgwick County,1765,1765,10
20175, Kansas,Seward ,Seward County,1718,1718,8
20177, Kansas,Shawnee ,Shawnee County,2085,2085,9
20179, Kansas,Sheridan ,Sheridan County,1704,1704,10
20181, Kansas,Sherman ,Sherman County,1596,1596,9
20183, Kansas,Smith ,Smith County,1413,1413,7
20185, Kansas,Stafford ,Stafford County,1078,1078,10
20187, Kansas,Stanton ,Stanton County,1666,1666,9
20189, Kansas,Stevens ,Stevens County,1879,1879,9
20191, Kansas,Sumner ,Sumner County,1473,1473,8
20193, Kansas,Thomas ,Thomas County,1890,1890,8
20195, Kansas,Trego ,Trego County,1589,1589,7
20197, Kansas,Wabaunsee ,Wabaunsee County,1868,1868,11
20199, Kansas,Wallace ,Wallace County,1585,1585,9
20201, Kansas,Washington ,Washington County,1335,1335,12
20203, Kansas,Wichita ,Wichita County,1712,1712,9
20205, Kansas,Wilson ,Wilson County,1119,1119,8
20207, Kansas,Woodson ,Woodson County,1239,1239,9
20209, Kansas,Wyandotte ,Wyandotte County,1748,1748,11
21001, Kentucky,Adair ,Adair County,662,662,7
21003, Kentucky,Allen ,Allen County,784,784,7
21005, Kentucky,Anderson ,Anderson County,1354,1354,10
21007, Kentucky,Ballard ,Ballard County,714,714,9
21009, Kentucky,Barren ,Barren County,873,873,8
21011, Kentucky,Bath ,Bath County,682,682,6
21013, Kentucky,Bell ,Bell County,477,477,6
21015, Kentucky,Boone ,Boone County,1778,1778,7
21017, Kentucky,Bourbon ,Bourbon County,1187,1187,9
21019, Kentucky,Boyd ,Boyd County,963,963,6
21021, Kentucky,Boyle ,Boyle County,1251,1251,7
21023, Kentucky,Bracken ,Bracken County,861,861,9
21025, Kentucky,Breathitt ,Breathitt County,477,477,11
21027, Kentucky,Breckinridge ,Breckinridge County,723,723,14
21029, Kentucky,Bullitt ,Bullitt County,1478,1478,9
21031, Kentucky,Butler ,Butler County,613,613,8
21033, Kentucky,Caldwell ,Caldwell County,579,579,10
21035, Kentucky,Calloway ,Calloway County,955,955,10
21037, Kentucky,Campbell ,Campbell County,1970,1970,10
21039, Kentucky,Carlisle ,Carlisle County,629,629,10
21041, Kentucky,Carroll ,Carroll County,795,795,9
21043, Kentucky,Carter ,Carter County,450,450,8
21045, Kentucky,Casey ,Casey County,570,570,7
21047, Kentucky,Christian ,Christian County,900,900,11
21049, Kentucky,Clark ,Clark County,1294,1294,7
21051, Kentucky,Clay ,Clay County,491,491,6
