"","FIPS","State","Life.Expectancy","Residential.Segregation.Index","Percent.Limited.Access.Healthy.Foods","Percent.Uninsured.Adults","School.Funding.Adequacy","Median.Household.Income","School.Funding.Cat","Median.Prop.Tax","Region","Division"
"27",1053,"Alabama",70.793018347,34.358749816,5.6765487704,17.268576173,-9384.266,47792,"0",371,"South","East South Central"
"28",1055,"Alabama",71.229589041,66.205649822,13.397919566,16.464077313,-9222.356667,55487,"0",476,"South","East South Central"
"29",1057,"Alabama",71.289393243,53.461751303,0.4299896114,15.129919965,-3383.665,49205,"0",241,"South","East South Central"
"30",1059,"Alabama",72.368356465,67.777839871,5.7351046475,18.596283965,-4702.0775,49611,"0",323,"South","East South Central"
"31",1061,"Alabama",71.061766946,23.033873009,3.8639910335,17.233025601,-5664.6145,51585,"0",331,"South","East South Central"
"32",1063,"Alabama",71.665235305,28.896542844,22.756475345,14.396207585,-46688.4,35449,"0",223,"South","East South Central"
"33",1065,"Alabama",70.214238739,25.955861854,6.9764912571,15.693566382,-14408.21,44702,"0",319,"South","East South Central"
"34",1067,"Alabama",74.285708311,29.547845324,8.0481033695,14.568788501,-5646.676,56702,"0",391,"South","East South Central"
"35",1069,"Alabama",74.093187709,45.592634072,4.242109128,15.851794649,-8717.0535,56842,"0",454,"South","East South Central"
"36",1071,"Alabama",71.510225461,53.947985599,5.3704164542,17.060477745,-1940.8055,51965,"0",352,"South","East South Central"
"37",1073,"Alabama",72.922522753,64.084733492,12.586638604,13.038387512,-16854.82033,61996,"0",1014,"South","East South Central"
"38",1075,"Alabama",73.109501462,19.532418177,0.416253749,14.698983581,-3915.783,51523,"0",231,"South","East South Central"
"39",1077,"Alabama",75.365040696,51.45467778,6.4706819216,15.635209045,-2980.85849,59023,"0",574,"South","East South Central"
"40",1079,"Alabama",71.565076781,69.227936494,5.3540348345,18.564039535,-2966.779,55516,"0",386,"South","East South Central"
"41",1081,"Alabama",77.156826844,32.233760202,11.069019519,14.404660542,-5115.897,59637,"0",854,"South","East South Central"
"42",1083,"Alabama",76.438374437,40.786684298,6.4263673672,13.94323334,-3144.2535,83159,"0",562,"South","East South Central"
"43",1085,"Alabama",68.417254989,31.504879804,20.204006563,13.511079085,-38643.01,42268,"0",330,"South","East South Central"
"44",1087,"Alabama",72.048650373,57.183533168,22.099887023,14.471528062,-31816.49,36601,"0",372,"South","East South Central"
"45",1089,"Alabama",76.651733256,47.669541363,9.3429073813,11.230125243,-2102.7935,80426,"0",835,"South","East South Central"
"46",1091,"Alabama",70.686985687,28.844534963,13.247225464,14.030636218,-23708.95667,45587,"0",313,"South","East South Central"
"47",1093,"Alabama",72.449370345,43.763043683,1.0310084298,16.903775737,-1688.6665,47742,"0",259,"South","East South Central"
"48",1095,"Alabama",72.597883193,52.835047743,10.031421286,19.258915504,-2554.72498,53388,"0",517,"South","East South Central"
"49",1097,"Alabama",73.044812653,56.920836278,9.7158344493,17.381627718,-10343.87,54315,"0",696,"South","East South Central"
"50",1099,"Alabama",71.527842283,40.272350824,11.329650773,15.611245846,-13027.7,47498,"0",291,"South","East South Central"
"51",1101,"Alabama",73.718133523,55.346041032,10.744317962,15.690860959,-22227.36,56862,"0",497,"South","East South Central"
"52",1103,"Alabama",73.150976298,58.833383987,8.2711687673,17.42646853,-1647.685567,62260,"0",511,"South","East South Central"
"53",1105,"Alabama",69.037542684,52.079902449,27.847074248,15.791929088,-60228.49,33585,"0",313,"South","East South Central"
"54",1107,"Alabama",72.201316812,29.024067494,1.4966823388,14.581220848,-13956.22,45440,"0",329,"South","East South Central"
"55",1109,"Alabama",72.138563949,26.923203359,10.493584998,14.502219728,-14121.495,45144,"0",391,"South","East South Central"
"56",1111,"Alabama",72.971422419,35.362932398,13.183328225,15.56,-8927.821,49433,"0",327,"South","East South Central"
"57",1113,"Alabama",71.542867908,42.448526896,6.6652776462,14.521706822,-9305.399,45074,"0",546,"South","East South Central"
"58",1115,"Alabama",73.587276987,28.069887979,2.3738139842,13.247377302,-2112.2495,70361,"0",464,"South","East South Central"
"59",1117,"Alabama",79.557887079,32.44273785,5.8197930737,9.8380931802,695.333,98263,"1",1050,"South","East South Central"
"60",1119,"Alabama",71.33240161,18.414745099,10.744695752,14.865474222,-50922.41,35152,"0",273,"South","East South Central"
"61",1121,"Alabama",71.090707701,34.119224541,7.8416455002,14.264219079,-11817.07567,55186,"0",389,"South","East South Central"
"62",1123,"Alabama",72.780757424,30.437667695,3.2664900482,16.01352523,-7566.0185,55270,"0",360,"South","East South Central"
"63",1125,"Alabama",74.855374404,55.619999366,6.7321443951,12.236582791,-8818.2745,60875,"0",611,"South","East South Central"
"64",1127,"Alabama",68.375133725,46.634920464,3.7186757692,15.657923027,-4386.4065,51065,"0",271,"South","East South Central"
"65",1129,"Alabama",73.722011328,28.64759962,4.4810180356,14.688806317,-8159.074,53785,"0",246,"South","East South Central"
"66",1131,"Alabama",68.860422774,34.718872567,23.682986073,14.712563341,-47862.75,33682,"0",260,"South","East South Central"
"67",1133,"Alabama",73.179478237,85.781990521,1.6945085306,16.855824852,-4104.257,51149,"0",270,"South","East South Central"
"68",2013,"Alaska",NA,NA,14.590333155,22.824483776,26955.54,85852,"1",0,"West","Pacific"
"69",2016,"Alaska",86.265929227,NA,7.8084301032,20.653319283,11035.23,112218,"1",2673,"West","Pacific"
"70",2020,"Alaska",77.09380816,47.820829807,4.5700242714,13.128276631,2907.9805,99162,"1",4067,"West","Pacific"
"71",2050,"Alaska",69.787552991,10.440113731,39.85265045,21.733234714,-4229.031667,59011,"0",NA,"West","Pacific"
"72",2060,"Alaska",NA,NA,11.679363273,17.984189723,32379.685,96382,"1",1783,"West","Pacific"
"73",2063,"Alaska",NA,NA,NA,16.321243523,NA,91356,NA,NA,"West","Pacific"
"74",2066,"Alaska",NA,NA,NA,17.948717949,NA,63837,NA,NA,"West","Pacific"
"75",2068,"Alaska",84.687740918,NA,33.09144787,14.516129032,1498.964,90897,"1",NA,"West","Pacific"
"76",2070,"Alaska",68.436998562,NA,31.466434246,22.782608696,19324.095,69716,"1",2345,"West","Pacific"
"77",2090,"Alaska",78.64359636,49.845196795,7.7312017214,14.423590645,2459.2815,84166,"1",2790,"West","Pacific"
"78",2100,"Alaska",79.850944397,NA,10.085293755,12.286411717,5020.291,70610,"1",1839,"West","Pacific"
"79",2105,"Alaska",76.971131816,NA,31.130174061,18.492063492,10934.579,64181,"1",1000,"West","Pacific"
"80",2110,"Alaska",80.357094337,35.406045157,1.9616013613,12.486210009,10780.55,102097,"1",3211,"West","Pacific"
"81",2122,"Alaska",78.758535329,56.331978905,7.8682757767,16.165699889,9118.519,76254,"1",1595,"West","Pacific"
"82",2130,"Alaska",78.346908432,NA,0.4009555881,16.362116326,12445.27,82648,"1",2144,"West","Pacific"
"83",2150,"Alaska",78.137105539,79.441117764,11.480081148,21.809862735,12975.41,83222,"1",3185,"West","Pacific"
"84",2158,"Alaska",65.180262542,NA,NA,22.547539994,NA,41824,NA,0,"West","Pacific"
"85",2164,"Alaska",NA,NA,41.604265568,25.265957447,NA,63038,NA,NA,"West","Pacific"
"86",2170,"Alaska",76.967535447,36.175578686,8.187402145,16.316224543,7721.41,86313,"1",2836,"West","Pacific"
"87",2180,"Alaska",68.544693484,NA,15.195473029,20.38202735,14590.085,64480,"1",1929,"West","Pacific"
"88",2185,"Alaska",75.403141126,NA,7.1061645355,15.376,27662.08,95795,"1",1858,"West","Pacific"
"89",2188,"Alaska",70.744333606,NA,29.219553776,21.403405755,22363.64,69234,"1",1450,"West","Pacific"
"90",2195,"Alaska",79.319314035,NA,0.6674929034,20.671834625,12081.49,76641,"1",1597,"West","Pacific"
"91",2198,"Alaska",72.015004028,NA,8.8410730896,21.776504298,15970.653,58381,"1",462,"West","Pacific"
"92",2201,"Alaska",NA,NA,NA,NA,NA,NA,NA,NA,"West","Pacific"
"93",2220,"Alaska",80.096368822,NA,6.24763201,16.570771001,10840.49,90345,"1",1882,"West","Pacific"
"94",2230,"Alaska",NA,NA,0.0599157949,16.940581542,13361.75,73603,"1",1389,"West","Pacific"
"95",2232,"Alaska",NA,NA,NA,NA,NA,NA,NA,NA,"West","Pacific"
"96",2240,"Alaska",75.383073158,NA,9.8880084733,20.149625935,9051.3675,74732,"1",2036,"West","Pacific"
"97",2261,"Alaska",NA,NA,NA,NA,NA,NA,NA,2634,"West","Pacific"
"98",2270,"Alaska",NA,NA,NA,NA,NA,NA,NA,NA,"West","Pacific"
"99",2275,"Alaska",80.328602846,NA,5.0337559902,22.337662338,15407.44,67761,"1",1398,"West","Pacific"
"100",2280,"Alaska",NA,NA,NA,NA,NA,NA,NA,NA,"West","Pacific"
