"","FIPS","State","Life Expectancy","Residential.Segregation.Index","% Limited Access to Healthy Foods","% Uninsured Adults","Spending per Pupil","School.Funding.Adequacy","Median Household Income","School.Funding.Cat","Median.Prop.Tax","Region","Division"
"49",1097,"Alabama",73.044812653,56.920836278,9.7158344493,17.381627718,10755,-10343.87,54315,"0",696,"South","East South Central"
"50",1099,"Alabama",71.527842283,40.272350824,11.329650773,15.611245846,11275,-13027.7,47498,"0",291,"South","East South Central"
"51",1101,"Alabama",73.718133523,55.346041032,10.744317962,15.690860959,10110,-22227.36,56862,"0",497,"South","East South Central"
"52",1103,"Alabama",73.150976298,58.833383987,8.2711687673,17.42646853,11162.666667,-1647.685567,62260,"0",511,"South","East South Central"
"53",1105,"Alabama",69.037542684,52.079902449,27.847074248,15.791929088,12801,-60228.49,33585,"0",313,"South","East South Central"
"54",1107,"Alabama",72.201316812,29.024067494,1.4966823388,14.581220848,11404,-13956.22,45440,"0",329,"South","East South Central"
"55",1109,"Alabama",72.138563949,26.923203359,10.493584998,14.502219728,11864,-14121.495,45144,"0",391,"South","East South Central"
"56",1111,"Alabama",72.971422419,35.362932398,13.183328225,15.56,10853,-8927.821,49433,"0",327,"South","East South Central"
"57",1113,"Alabama",71.542867908,42.448526896,6.6652776462,14.521706822,10542,-9305.399,45074,"0",546,"South","East South Central"
"58",1115,"Alabama",73.587276987,28.069887979,2.3738139842,13.247377302,9627.5,-2112.2495,70361,"0",464,"South","East South Central"
"59",1117,"Alabama",79.557887079,32.44273785,5.8197930737,9.8380931802,10951,695.333,98263,"1",1050,"South","East South Central"
"60",1119,"Alabama",71.33240161,18.414745099,10.744695752,14.865474222,13477,-50922.41,35152,"0",273,"South","East South Central"
"61",1121,"Alabama",71.090707701,34.119224541,7.8416455002,14.264219079,11050,-11817.07567,55186,"0",389,"South","East South Central"
"62",1123,"Alabama",72.780757424,30.437667695,3.2664900482,16.01352523,10660.5,-7566.0185,55270,"0",360,"South","East South Central"
"63",1125,"Alabama",74.855374404,55.619999366,6.7321443951,12.236582791,10671.5,-8818.2745,60875,"0",611,"South","East South Central"
"64",1127,"Alabama",68.375133725,46.634920464,3.7186757692,15.657923027,11008.5,-4386.4065,51065,"0",271,"South","East South Central"
"65",1129,"Alabama",73.722011328,28.64759962,4.4810180356,14.688806317,9930,-8159.074,53785,"0",246,"South","East South Central"
"66",1131,"Alabama",68.860422774,34.718872567,23.682986073,14.712563341,13649,-47862.75,33682,"0",260,"South","East South Central"
"67",1133,"Alabama",73.179478237,85.781990521,1.6945085306,16.855824852,10924,-4104.257,51149,"0",270,"South","East South Central"
"68",4001,"Arizona",66.094833518,67.241362438,35.341359051,20.142553629,16134.111111,-4544.9307,40632,"0",505,"West","Mountain"
"69",4003,"Arizona",76.705461843,56.407990208,15.553432777,13.49751434,11771.428571,-7992.390971,55254,"0",1194,"West","Mountain"
"70",4005,"Arizona",76.712354027,59.371025514,13.317311456,16.07124975,13584.5,-4757.914075,64016,"0",1535,"West","Mountain"
"71",4007,"Arizona",70.7179949,65.012333762,11.015265243,17.814019131,15798.833333,-345.6703333,51928,"0",1212,"West","Mountain"
"72",4009,"Arizona",75.022930011,55.468199953,15.74426948,15.535097814,12506.833333,-2315.6937,63797,"0",834,"West","Mountain"
"73",4011,"Arizona",77.993885409,57.624716553,14.048794021,11.008836524,9648,-875.211,76338,"0",346,"West","Mountain"
"74",4012,"Arizona",73.978040219,NA,26.486596307,22.618692147,13476.75,-12901.61625,53925,"0",705,"West","Mountain"
"75",4013,"Arizona",78.160544614,46.104073044,5.5091398411,14.601674771,10215.811321,-4670.097463,83668,"0",1489,"West","Mountain"
"76",4015,"Arizona",73.769834334,61.05366739,18.697614504,15.513651721,11501.666667,-8895.349111,54842,"0",952,"West","Mountain"
"77",4017,"Arizona",68.756275353,78.042113788,26.001611185,19.402218976,13838,-3877.088291,49948,"0",913,"West","Mountain"
"78",4019,"Arizona",77.12531728,44.054518179,8.9287254303,13.621039886,10334,-3321.949346,64007,"0",1753,"West","Mountain"
"79",4021,"Arizona",79.416431287,53.281001627,14.213206997,15.171057271,11222,-3910.848624,76232,"0",1295,"West","Mountain"
"80",4023,"Arizona",79.601627929,NA,18.324118146,21.349782851,13536.8,-3414.180454,53467,"0",1146,"West","Mountain"
"81",4025,"Arizona",76.99002318,70.368544246,12.979765332,16.779858229,12262.692308,-3183.894377,64187,"0",1350,"West","Mountain"
"82",4027,"Arizona",78.553120252,55.500139846,10.30404572,22.624387777,11325.666667,-7917.137222,54209,"0",1086,"West","Mountain"
"83",5001,"Arkansas",70.208546081,40.334064117,23.658697369,10.325211978,10721,-7085.364,52145,"0",525,"South","West South Central"
